"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment","SpeedingFlag","HitAndRunFlag","IntersectionNumber","AStreetName","BStreetName","Latitude","Longitude"
"726483","CR-0000105016","0","0","0","0","24-178-0561","False","False","51","6/22/2024 12:00:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of","","False","True","112089","TOLWORTH DR","WHITEHALL AV","37.30449291","-121.9385075"
"711791","CR-0000100908","2","0","0","0","23-306-0529","False","False","36","11/2/2023 2:48:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","East Of","","True","False","110241","SPRUANCE ST","WHITETHORNE DR","37.30061081","-121.936797"
"692417","CR-0000097700","1","0","0","0","23-081-0828","False","False","105","3/22/2023 10:31:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of","","True","False","22770","BOYNTON AV","CAPE COD CT","37.3027112","-121.9660425"
"682960","CR-0000092543","0","0","0","0","22-162-0927","False","False","100","6/11/2022 10:21:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Not Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","False","True","22857","BOYNTON AV","STARBIRD CI","37.30653479","-121.9660472"
"726616","CR-0000105150","0","0","0","0","24-178-0934","False","False","57","6/26/2024 10:45:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of","","False","True","22857","BOYNTON AV","STARBIRD CI","37.30653479","-121.9660472"
"725198","CR-0000104679","1","0","0","0","24-161-0348","False","False","0","6/9/2024 10:42:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","22868","BOYNTON AV","STARBIRD CI","37.30519132","-121.9660386"
"683141","CR-0000092724","0","0","0","0","22-045-4004","False","True","51","2/14/2022 8:00:00 AM","No Pedestrians Involved","Unknown","Unknown","Daylight","Unknown","Unknown","Unknown","Other","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","East Of","","False","False","22868","BOYNTON AV","STARBIRD CI","37.30519132","-121.9660386"
"682508","CR-0000092075","1","0","0","0","22-093-0636","False","False","180","4/3/2022 5:09:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Bike At Fault","No Controls Present/Factor","Clear","Vehicle/Bike","Non-Related","Bike","Not Applicable","Not Applicable","North Of","BIKE","False","False","22868","BOYNTON AV","STARBIRD CI","37.30519132","-121.9660386"
"690758","CR-0000096895","0","0","0","0","23-015-0781","False","False","0","1/15/2023 11:39:00 PM","No Pedestrians Involved","Wet","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Rain","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","22846","BOYNTON AV","RHODA DR","37.3048147","-121.9660411"
"711585","CR-0000101205","0","0","0","0","23-333-0469","False","False","0","11/29/2023 1:11:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Vehicle/Pedestrian","Intersection","Wheelchair","Not Applicable","Not Applicable","At","PED(WHEEL CHAIR)","False","False","22846","BOYNTON AV","RHODA DR","37.3048147","-121.9660411"
